id;name;rating;bedroom;bed;bath;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
904353;Rental unit in Bangkok ;0;1;1;1;4836941;GrongGaew;;Suanluang;13.73693;100.61644;Private room;1351;2;0;;;4;364;0;
390611;Condo in Bangkok ;4.57 ;0;2;1;807406;Hollis;;Khlong Toei;13.74052;100.55237;Entire home/apt;866;1;201;08-11-2023;1.41;1;236;13;
393066;Rental unit in Bangkok ;4.51 ;0;1;1;1927968;Evan;;Sathon;13.720785;100.547241;Entire home/apt;843;1;458;02-12-2023;3.29;49;330;27;
906203;Condo in Tambon Sam Rong Nua ;0;1;0;1;4850305;Dujdao;;Bang Na;13.65441;100.64548;Private room;797;1;0;;;1;365;0;
1453230;Rental unit in Bangkokfdsa ;0;1;1;1;7795450;Kirawut;;Vadhana;13.7214;100.58484;Private room;1758;1;0;;;1;0;0;
397449;Rental unit in Silom, Bangrak ;4.59 ;1;1;1;263049;Tor;;Sathon;13.71782;100.51622;Private room;1450;1;41;08-12-2023;0.29;7;351;2;
907553;Rental unit in Bangkok ;0;2;2;2;4861469;Kostas;;Ratchathewi;13.75409;100.53552;Entire home/apt;3583;7;0;;;1;269;0;
405662;Condo in  Bangkok ;4.84 ;1;1;1;1425515;Peter;;Vadhana;13.73816;100.56495;Entire home/apt;1400;27;33;21-09-2023;0.24;2;146;1;
920116;Rental unit in Bangkok ;4.73 ;1;1;1;4836941;GrongGaew;;Suanluang;13.73786;100.64065;Entire home/apt;1559;30;11;30-12-2017;0.12;4;89;0;
1457235;Serviced apartment in Bangkok ;4.78 ;2;1;1;5793490;Nicky;;Bang Kho laen;13.69945;100.52725;Entire home/apt;886;1;9;19-02-2023;0.08;6;84;2;
407381;Rental unit in Bangkok ;4.77 ;2;3;3;1463818;Amporn;;Vadhana;13.73675;100.57191;Entire home/apt;3741;7;15;14-09-2022;0.11;1;82;0;
1463101;Rental unit in Bangkok ;3.88 ;1;1;1;7840606;Nap;;Phaya Thai;13.78519;100.5496;Entire home/apt;20000;1;8;03-12-2022;0.09;1;0;0;
923795;Rental unit in Bangkok ;0;1;1;1;4968824;Sanjay;;Khlong Toei;13.72468;100.56838;Private room;3000;1;0;;;1;0;0;
413824;Rental unit in Bangkok ;4.53 ;1;1;1;1927968;Evan;;Sathon;13.720548;100.54697;Entire home/apt;700;1;357;13-12-2023;2.67;49;0;30;
933070;Rental unit in Bangkok ;0;1;1;1;1203066;Tienchai;;Min Buri;13.78238;100.74811;Private room;1620;30;0;;;2;0;0;
933092;Rental unit in Bangkok ;0;1;2;1;1203066;Tienchai;;Min Buri;13.78235;100.7482;Private room;1620;1;0;;;2;0;0;
428360;Rental unit in Bangkok ;4.56 ;2;1;1;2129668;Wimonpak;;Yan na wa;13.69673;100.53202;Entire home/apt;1143;200;35;04-03-2019;0.25;42;358;0;
941803;Serviced apartment in Bang Kapi ;0;1;1;1;610315;Kasem;;Bang Kapi;13.7703;100.63148;Private room;1905;1;0;;;3;365;0;
941865;Serviced apartment in Bang Kapi ;0;1;1;1;610315;Kasem;;Bang Kapi;13.76872;100.63338;Private room;1905;1;0;;;3;365;0;
1485092;Rental unit in Bangkok ;0;0;1;1;5469970;Yair;;Suanluang;13.72219;100.6145;Entire home/apt;997;10;2;13-11-2016;0.02;12;365;0;
1485265;Rental unit in Bangkok ;4.27 ;0;1;1;5469970;Yair;;Suanluang;13.71916;100.63024;Entire home/apt;1013;28;15;27-11-2023;0.13;12;332;6;
428421;Rental unit in Bangkok ;4.79 ;1;1;1;2129668;Wimonpak;;Bang Kho laen;13.69935;100.52723;Entire home/apt;700;365;40;24-10-2018;0.28;42;365;0;
428907;Rental unit in Bangkok ;4.53 ;1;1;1;2129668;Wimonpak;;Bang Kho laen;13.69977;100.52652;Entire home/apt;831;365;17;27-11-2023;0.12;42;270;3;
428950;Rental unit in Bangkok ;4.61 ;1;1;1;2129668;Wimonpak;;Bang Kho laen;13.698;100.52886;Entire home/apt;750;1;128;01-01-2023;0.92;42;362;1;
430691;Rental unit in Bangkok ;4.65 ;1;1;1;2129668;Wimonpak;;Bang Kho laen;13.70068;100.5228;Entire home/apt;850;1;27;07-05-2023;0.22;42;343;1;
430703;Rental unit in Bangkok ;4.66 ;1;1;1;2129668;Wimonpak;;Bang Kho laen;13.69925;100.52624;Entire home/apt;890;3;52;11-09-2023;0.38;42;360;4;
432004;Rental unit in Bangkok ;4.29 ;1;1;1;2148220;Marvin;;Sathon;13.71922;100.5255;Private room;1472;1;14;23-02-2017;0.11;3;0;0;
1507375;Rental unit in Bangkok ;0;1;1;1;8008449;Sina;;Vadhana;13.70714;100.60281;Entire home/apt;2236;1;0;;;1;0;0;
1515778;Condo in Bangkok ;0;1;1;1.5  ;8093424;Tesue;;Vadhana;13.70992;100.59918;Shared room;712;2;1;01-08-2018;0.02;1;0;0;
952677;Hostel in Klong San ;2.50 ;1;2;1;5171292;Somsak;;Khlong San;13.7204;100.50757;Private room;700;2;3;07-02-2015;0.02;5;83;0;
439051;Serviced apartment in Bangkok ;4.83 ;1;1;1;2122791;Maam & Hermann;;Yan na wa;13.67317;100.54406;Hotel room;;2;120;28-02-2020;0.85;1;0;0;
959254;Rental unit in Bangkok ;0;1;1;1;5153476;Natcha;;Khlong Toei;13.71516;100.56806;Entire home/apt;1400;30;0;;;1;0;0;
1522068;Condo in Bangkok ;4.77 ;2;3;1;8123510;Tatiya;;Chatu Chak;13.84279;100.56287;Entire home/apt;2467;2;247;05-12-2023;2.03;9;339;31;
449826;Loft in Bangkok ;4.64 ;1;1;1;2129668;Wimonpak;;Bang Kho laen;13.70218;100.52254;Entire home/apt;700;2;43;15-04-2023;0.32;42;365;5;
1526123;Condo in Bangkok ;4.60 ;1;0;1;1774390;Add;;Vadhana;13.73767;100.58381;Entire home/apt;2248;2;41;09-03-2023;0.33;2;360;2;
450464;Rental unit in Bangkok ;4.63 ;1;1;1;2129668;Wimonpak;;Bang Kho laen;13.70039;100.52806;Entire home/apt;790;1;46;04-09-2023;0.41;42;340;4;
960858;Rental unit in Bangkok ;0;1;1;1;3769704;Pat;;Sai Mai;13.9077;100.64473;Private room;1500;1;0;;;1;0;0;
527553;Condo in Bangkok ;5.0 ;1;1;1;2592798;Nokina;;Chatu Chak;13.82841;100.57103;Entire home/apt;;2;23;21-02-2016;0.16;2;0;0;
1547429;Home in Bangkok ;0;3;3;3;8243802;Prare;;Saphan Sung;13.73667;100.69141;Entire home/apt;10356;1;0;;;1;0;0;
534241;Condo in Bangkok ;0;3;4;0;2625384;Mike;;Chatu Chak;13.80994;100.5651;Entire home/apt;4156;30;0;;;1;365;0;
965722;Rental unit in Bangkok ;0;1;1;1;5265861;Chuchart;;Vadhana;13.74444;100.57003;Private room;3775;30;2;29-11-2018;0.03;1;0;0;
580270;Rental unit in Bangkok ;4.66 ;0;1;1;1927968;Evan;;Sathon;13.720785;100.547241;Entire home/apt;650;1;108;13-12-2023;0.98;49;330;14;
969792;Rental unit in Bangkok ;0;1;2;2;5297436;Anya;;Ratchathewi;13.7547;100.53268;Entire home/apt;3083;1;0;;;1;0;0;
1560067;Rental unit in Bangkok ;4.77 ;0;2;1;7667490;Egg;;Sathon;13.72053;100.53854;Entire home/apt;1178;180;85;16-04-2016;0.68;1;0;0;
581755;Rental unit in Bangkok ;0;1;1;1;2864425;Urcha;;Bang Kapi;13.75056;100.60844;Private room;1316;5;1;03-12-2013;0.01;1;0;0;
1571204;Rental unit in Bangkok ;4.82 ;1;1;1;8214044;Evan From Sanctuary House;;Sathon;13.72052;100.54682;Entire home/apt;1200;1;324;02-12-2023;2.62;9;0;24;
1585084;Rental unit in Bangkok ;4.70 ;3;4;0;8444643;Kiattisak;;Vadhana;13.73616;100.57224;Entire home/apt;39999;2;46;26-02-2019;0.38;58;334;0;
